country_scope,flow_case,tab,section,fieldname,label,fieldtype,options,depends_on,reqd,read_only,in_list_view,implementation_status,notes
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,documents_not_accepted_alert,Status,Text,,eval:doc.documents_verified == 0 && doc.higher_education == '12th pass',0,1,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,graduation_verification_documents,B. Graduation Verification,Table,Graduation Verification,eval:doc.higher_education == 'Graduation',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,school_digi_locker_id,10th and 12th Digi Locker ID,Data,,eval:doc.higher_education == 'Graduation',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,school_digi_locker_password,Digi Locker Password,Password,,eval:doc.higher_education == 'Graduation',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,school_docs_verified,10th/12th Documents Verified,Select, | Yes | No,eval:doc.higher_education == 'Graduation',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,school_docs_pdf,Upload 10th/12th PDF,Attach,,eval:doc.school_docs_verified == 'Yes',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,school_docs_status,Status,Data,,eval:doc.school_docs_verified == 'No',0,1,0,LIVE,
AU,AU Default,Processing,Spouse Details,spouse_details_list,E. Spouse details,Table,Spouse Details,eval:doc.martial_status == 'Married' && doc.case_4_proceed_above_1_year == 'with Spouse',0,0,0,LIVE,
AU,AU Default,Processing,C. English Proficiency Test,english_test_details,English Tests,Table,Application English Test,,0,0,0,LIVE,
AU,AU Default,Processing,D. Study Gap Proof,study_gap_proof_list,Study Gap Proof List,Table,Study Gap Proof,,0,0,0,LIVE,
AU,AU Default,Processing,E. Passport,passport_uploaded,Passport Uploaded,Check,,,0,0,0,LIVE,
AU,AU Default,Processing,E. Passport,passport_documents,Passport Documents,Table,student documents,eval:doc.passport_uploaded == 1,0,0,0,LIVE,
AU,AU Default,Processing,F. Processing Agent,processing_agent_details,Processing Agent,Table,Processing Agent Details,,0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,application_filled_by,Application Filled By,Select, | Application filled by us | Filled on portal | Filled by Vendor,,0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,application_form_1_upload,Application Form 1 Upload,Attach,,eval:doc.application_filled_by == 'Application filled by us',0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,application_form_2_upload,Application Form 2 Upload,Attach,,eval:doc.application_filled_by == 'Application filled by us',0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,application_form_3_upload,Application Form 3 Upload,Attach,,eval:doc.application_filled_by == 'Application filled by us',0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,application_form_4_upload,Application Form 4 Upload,Attach,,eval:doc.application_filled_by == 'Application filled by us',0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,sop_upload,SOP Upload,Attach,,eval:doc.application_filled_by == 'Application filled by us',0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,sop_portal_or_vendor_upload,SOP Upload,Attach,,eval:doc.application_filled_by == 'Filled on portal' || doc.application_filled_by == 'Filled by Vendor',0,0,0,LIVE,
AU,AU Default,Processing,F. Applications,documents_passport_application_form_sop,Documents ,Table,student documents,,0,0,0,LIVE,
AU,AU Default,Submitted,,submitted_date,Submitted Date,Date,,,0,0,0,LIVE,
AU,AU Default,Submitted,,any_further_requirement_offer_letter,Any Further Requirement for offer letter?,Check,,,0,0,0,LIVE,
AU,AU Default,Submitted,,no_further_requirement_note,Note,Text,,eval:!doc.any_further_requirement_offer_letter,0,1,0,LIVE,
AU,AU Default,Submitted,,pending_requirement_details,Pending Requirement Details,Text,,eval:doc.any_further_requirement_offer_letter == 1,0,0,0,LIVE,
AU,AU Default,Submitted,,pending_requirements_completed,Pending requirements Completed?,Select, | Yes | No,eval:doc.any_further_requirement_offer_letter == 1,0,0,0,LIVE,
AU,AU Default,Submitted,,pending_requirements_reminder_note,Note,Text,,eval:doc.any_further_requirement_offer_letter == 1 && doc.pending_requirements_completed == 'No',0,1,0,LIVE,
AU,AU Default,Submitted,,supporting_documents,Supporting Documents,Table,student documents,eval:doc.any_further_requirement_offer_letter == 1 && doc.pending_requirements_completed == 'Yes',0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,offer_currency,Currency,Select,AUD | CAD | NZD | USD | INR,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,university_name,University Name,Link,University,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,course_name,Course Name,Link,Course,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,university_intake,Intake,Date,,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,full_year_tuition_fee,Full Year Tuition Fee,Currency,offer_currency,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,scholarship,Scholarship,Currency,offer_currency,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,payable_fee,Payable Fee,Currency,offer_currency,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,oshc_offer,OSHC,Currency,offer_currency,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,living_expenses,Living Expenses,Currency,offer_currency,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,travel_expenses,Travel Expenses,Currency,offer_currency,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,living_expenses_spouse,Living Expense Spouse,Currency,offer_currency,eval:doc.martial_status == 'Married' && doc.case_4_proceed_above_1_year == 'with Spouse',0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,travel_expenses_spouse,Travel Expense Spouse,Currency,offer_currency,eval:doc.martial_status == 'Married' && doc.case_4_proceed_above_1_year == 'with Spouse',0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,process_with_kids,Process with Kids,Check,,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,no_of_kids,Number of Kids,Int,,eval:doc.process_with_kids == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,living_expenses_kid_unit,Living Expense Kid (Per Kid),Currency,offer_currency,eval:doc.process_with_kids == 1,0,1,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,travel_expenses_kid_unit,Travel Expense Kid (Per Kid),Currency,offer_currency,eval:doc.process_with_kids == 1,0,1,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,funds_required_type,Funds Required,Select, | With Full Year fee (single basis) | Without Full Year fee (single basis) | With Full Year fee (With spouse) | Without Full Year fee (With spouse) | With Full Year fee (With spouse and Kid) | Withou,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,funds_required_amount,Funds Required Amount,Currency,offer_currency,,0,1,0,LIVE,
AU,AU Default,Offer Letter,Offer Letter,conditions_on_offer_letter,Conditions on Offer Letter,Table MultiSelect,Application Offer Letter Condition,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Documents,offer_letter_upload,Offer Letter,Table,student documents,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Documents,send_offer_to_chat,Send directly to chat,Check,,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Documents,other_documents_offer,Other Documents,Table,student documents,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Documents,defer_offer_required,Defer Offer Required,Check,,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Documents,defer_offer_ok,Status,Text,,eval:doc.defer_offer_required == 0,0,1,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_offer_currency,Currency,Select,AUD | CAD | NZD | USD | INR,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_university_name,University Name,Link,University,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_course_name,Course Name,Link,Course,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_university_intake,Intake,Date,,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_full_year_tuition_fee,Full Year Tuition Fee,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_scholarship,Scholarship,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_payable_fee,Payable Fee,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_oshc,OSHC,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_living_expenses,Living Expenses,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_travel_expenses,Travel Expenses,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_living_expenses_spouse,Living Expense Spouse,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1 && doc.martial_status == 'Married' && doc.case_4_proceed_above_1_year == 'with Spouse',0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_travel_expenses_spouse,Travel Expense Spouse,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1 && doc.martial_status == 'Married' && doc.case_4_proceed_above_1_year == 'with Spouse',0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_process_with_kids,Process with Kids,Check,,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_no_of_kids,Number of Kids,Int,,eval:doc.defer_offer_required == 1 && doc.defer_process_with_kids == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_living_expenses_kid_unit,Living Expense Kid (Per Kid),Currency,defer_offer_currency,eval:doc.defer_offer_required == 1 && doc.defer_process_with_kids == 1,0,1,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_travel_expenses_kid_unit,Travel Expense Kid (Per Kid),Currency,defer_offer_currency,eval:doc.defer_offer_required == 1 && doc.defer_process_with_kids == 1,0,1,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_funds_required_type,Funds Required,Select, | With Full Year fee (single basis) | Without Full Year fee (single basis) | With Full Year fee (With spouse) | Without Full Year fee (With spouse) | With Full Year fee (With spouse and Kid) | Withou,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_funds_required_amount,Funds Required Amount,Currency,defer_offer_currency,eval:doc.defer_offer_required == 1,0,1,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,defer_conditions_on_offer_letter,Conditions on Offer Letter,Table MultiSelect,Application Offer Letter Condition,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Defer Offer Details,asd,asd,Data,,,0,0,0,LIVE,
AU,AU Default,Offer Letter,Documents,defer_offer_letter_upload,Offer Letter,Table,student documents,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Offer Letter,Documents,defer_other_documents,Other Documents,Table,student documents,eval:doc.defer_offer_required == 1,0,0,0,LIVE,
AU,AU Default,Financials,A. GS Submitted,gs_submitted,GS Submitted,Check,,,0,0,0,LIVE,
AU,AU Default,Financials,A. GS Submitted,financial_stage_completed,Status,Text,,eval:doc.gs_submitted == 1,0,1,0,LIVE,
AU,AU Default,Financials,A. GS Submitted,gs_submitted_reminder_date,When will financials be completed?,Date,,eval:doc.gs_submitted == 0,0,0,0,LIVE,
AU,AU Default,Financials,B. Conditions,conditions_note,Note,Text,,eval:!doc.conditions_on_offer_letter || !Array.isArray(doc.conditions_on_offer_letter) || doc.conditions_on_offer_letter.length === 0,0,1,0,LIVE,
AU,AU Default,Financials,Interview Condition,interview_timing,Interview Timing,Select, | Before GS Approval | Before Acceptance | Before COE,eval:doc.conditions_on_offer_letter && Array.isArray(doc.conditions_on_offer_letter) && doc.conditions_on_offer_letter.some(function(r){ return (r.condition || '').indexOf('Interview') !== -1; }),0,0,0,LIVE,
AU,AU Default,Financials,Interview Condition,interview_deadline_date,Interview Deadline Date,Date,,eval:doc.conditions_on_offer_letter && Array.isArray(doc.conditions_on_offer_letter) && doc.conditions_on_offer_letter.some(function(r){ return (r.condition || '').indexOf('Interview') !== -1; }) && doc.interview_timing == 'Before GS Approval',0,0,0,LIVE,
AU,AU Default,Financials,English Requirement,english_requirement_details,Details,Text,,eval:doc.conditions_on_offer_letter && Array.isArray(doc.conditions_on_offer_letter) && doc.conditions_on_offer_letter.some(function(r){ return (r.condition || '').indexOf('English Requirement') !== -1; }),0,0,0,LIVE,
AU,AU Default,Financials,English Requirement,english_requirement_documents,Supporting Documents (Optional),Table,student documents,eval:doc.conditions_on_offer_letter && Array.isArray(doc.conditions_on_offer_letter) && doc.conditions_on_offer_letter.some(function(r){ return (r.condition || '').indexOf('English Requirement') !== -1; }),0,0,0,LIVE,
AU,AU Default,Financials,C. Sponsors,table_ihmq,,Table,Application Sponsor Complete,,0,0,0,LIVE,
AU,AU Default,Financials,Gap Justification,gap_justification_details,Details,Text,,eval:doc.conditions_on_offer_letter && Array.isArray(doc.conditions_on_offer_letter) && doc.conditions_on_offer_letter.some(function(r){ return (r.condition || '').indexOf('Gap Justification') !== -1; }),0,0,0,LIVE,
AU,AU Default,Financials,Gap Justification,gap_justification_documents,Supporting Documents (Optional),Table,student documents,eval:doc.conditions_on_offer_letter && Array.isArray(doc.conditions_on_offer_letter) && doc.conditions_on_offer_letter.some(function(r){ return (r.condition || '').indexOf('Gap Justification') !== -1; }),0,0,0,LIVE,
AU,AU Default,Financials,Verification,verification_type,Verification Type,Select, | Academics | Work Experience,eval:doc.conditions_on_offer_letter && Array.isArray(doc.conditions_on_offer_letter) && doc.conditions_on_offer_letter.some(function(r){ return (r.condition || '').indexOf('Verification') !== -1; }),0,0,0,LIVE,
AU,AU Default,Financials,Section D - Academics,student_academic_verification,Student Academic Verification,Table,Academic Verification,,0,0,0,LIVE,
AU,AU Default,Financials,Spouse Academics Verification,spouse_academic_verification,Spouse Academic Verification,Table,Academic Verification,eval:doc.martial_status == 'Married' && doc.case_4_proceed_above_1_year == 'with Spouse',0,0,0,LIVE,
AU,AU Default,Financials,Funds & Documents Upload,sponsor_1_docs_pdf_upload,Sponsor 1 Documents PDF (AC+PC+ITR+Occupation Proof+Others),Attach,,,0,0,0,LIVE,
AU,AU Default,Financials,Funds & Documents Upload,sponsor_2_docs_pdf_upload,Sponsor 2 Documents PDF (AC+PC+ITR+Occupation Proof+Others),Attach,,,0,0,0,LIVE,
AU,AU Default,Financials,Funds & Documents Upload,sponsor_3_docs_pdf_upload,Sponsor 3 Documents PDF (AC+PC+ITR+Occupation Proof+Others),Attach,,,0,0,0,LIVE,
AU,AU Default,Financials,GS & Affidavits,gs_sop_upload,GS SOP Upload,Attach,,,0,0,0,LIVE,
AU,AU Default,Financials,GS & Affidavits,gs_form_1_upload,GS Form 1 Upload,Attach,,,0,0,0,LIVE,
AU,AU Default,Financials,GS & Affidavits,gs_form_2_upload,GS Form 2 Upload,Attach,,,0,0,0,LIVE,
AU,AU Default,Financials,GS & Affidavits,sponsorship_affidavit_upload,Sponsorship Affidavit Upload,Attach,,,0,0,0,LIVE,
AU,AU Default,Financials,GS & Affidavits,student_affidavit_upload,Student Affidavit Upload,Attach,,,0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,interview_stage_available,Interview Before Acceptance (This stage available),Check,,,0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,interview_not_available_status,Status,Text,,eval:!doc.interview_stage_available,0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,interview_deadline,Interview Deadline,Date,,eval:doc.interview_stage_available,0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,student_prepare,Student Prepare,Select, | Yes | No,eval:doc.interview_stage_available,0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,student_prepare_yes_status,Status,Text,,eval:doc.interview_stage_available && doc.student_prepare == 'Yes',0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,student_prepare_no_status,Status,Text,,eval:doc.interview_stage_available && doc.student_prepare == 'No',0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,schedule_interview,Schedule Interview,Select, | Yes | No,eval:doc.interview_stage_available,0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,schedule_interview_yes_status,Status,Text,,eval:doc.interview_stage_available && doc.schedule_interview == 'Yes',0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,schedule_interview_no_status,Status,Text,,eval:doc.interview_stage_available && doc.schedule_interview == 'No',0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,gs_approved_check,GS Approved,Check,,eval:doc.interview_stage_available,0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,gs_approved_yes_status,Status,Text,,eval:doc.interview_stage_available && (doc.gs_approved_check),0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,gs_any_requirement,Is There Any Requirement,Check,,eval:doc.interview_stage_available && (!doc.gs_approved_check),0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,no_requirement_status,Status,Text,,eval:doc.interview_stage_available && (!doc.gs_approved_check && !doc.gs_any_requirement),0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,requirement_details,Requirement Details,Text,,eval:doc.interview_stage_available && (!doc.gs_approved_check && doc.gs_any_requirement),0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,requirement_document_upload,Upload Required Document,Attach,,eval:doc.interview_stage_available && (!doc.gs_approved_check && doc.gs_any_requirement),0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,requirements_completed,Requirements Completed,Check,,eval:doc.interview_stage_available && (!doc.gs_approved_check && doc.gs_any_requirement),0,0,0,LIVE,
AU,AU Default,GS Processing,GS Processing,requirements_completed_yes_status,Status,Text,,eval:doc.interview_stage_available && (!doc.gs_approved_check && doc.gs_any_requirement && doc.requirements_completed),0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,requirements_completed_no_status,Status,Text,,eval:doc.interview_stage_available && (!doc.gs_approved_check && doc.gs_any_requirement && !doc.requirements_completed),0,1,0,LIVE,
AU,AU Default,GS Processing,GS Processing,all_documents,All Documents,Table,student documents,,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,tuition_fee_paid,Tuition Fee Paid,Check,,,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,tuition_fee_paid_status,Status,Text,,eval:doc.tuition_fee_paid,0,1,0,LIVE,
AU,AU Default,GS Approved,GS Approved,tuition_fee_not_paid_status,Status,Text,,eval:!doc.tuition_fee_paid,0,1,0,LIVE,
AU,AU Default,GS Approved,GS Approved,tuition_fee_upload,Tuition Fee Upload,Attach,,eval:doc.tuition_fee_paid,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,oshc_required,OSHC Required,Check,,,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,oshc_arranged_by_type,OSHC Arranged By,Select, | GHA | University | Agent | Student,eval:doc.oshc_required,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,gha_policy_received,Have You Received Policy,Check,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'GHA',0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,gha_oshc_company_name,OSHC Company Name,Text,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'GHA' && doc.gha_policy_received,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,gha_oshc_policy_no,Policy No,Text,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'GHA' && doc.gha_policy_received,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,gha_oshc_upload,Upload OSHC,Attach,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'GHA' && doc.gha_policy_received,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,gha_policy_not_received_status,Status,Text,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'GHA' && !doc.gha_policy_received,0,1,0,LIVE,
AU,AU Default,GS Approved,GS Approved,agent_policy_received,Have You Received Policy,Check,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'Agent',0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,agent_oshc_company_name,OSHC Company Name,Text,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'Agent' && doc.agent_policy_received,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,agent_oshc_policy_no,Policy No,Text,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'Agent' && doc.agent_policy_received,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,agent_oshc_amount,Amount,Text,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'Agent' && doc.agent_policy_received,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,agent_oshc_upload,Upload OSHC,Attach,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'Agent' && doc.agent_policy_received,0,0,0,LIVE,
AU,AU Default,GS Approved,GS Approved,agent_policy_not_received_status,Status,Text,,eval:doc.oshc_required && doc.oshc_arranged_by_type == 'Agent' && !doc.agent_policy_received,0,1,0,LIVE,
